timestamp,x,y,z,w
1523148930457016,0.0916138,0.295349,-0.739258,-0.598267
1523148930479573,0.0913696,0.295288,-0.739197,-0.598389
1523148930499123,0.0913696,0.295349,-0.739075,-0.598511
1523148930517177,0.092041,0.295044,-0.739014,-0.598633
1523148930539735,0.0928345,0.294373,-0.739258,-0.598572
1523148930559286,0.0921631,0.293823,-0.73938,-0.598816
1523148930577332,0.0924072,0.292725,-0.740112,-0.598389
1523148930599390,0.093689,0.291443,-0.740417,-0.598389
1523148930619443,0.0951538,0.288452,-0.741272,-0.598633
1523148930636994,0.09729,0.286072,-0.741882,-0.598633
1523148930659552,0.0991211,0.28418,-0.742188,-0.598816
1523148930679104,0.100037,0.282227,-0.742676,-0.598999
1523148930697150,0.100403,0.281433,-0.742798,-0.599243
1523148930726232,0.0999146,0.281372,-0.742737,-0.599365
1523148930739766,0.0982666,0.282104,-0.742493,-0.599609
1523148930756311,0.0958862,0.283508,-0.742004,-0.599976
1523148930778869,0.0947876,0.28479,-0.741333,-0.600281
1523148930799925,0.0946655,0.286011,-0.740723,-0.600525
1523148930816473,0.0951538,0.28656,-0.740417,-0.600586
1523148930839029,0.0964355,0.286438,-0.740295,-0.600586
1523148930860084,0.0980225,0.286011,-0.740356,-0.600464
1523148930876127,0.0991211,0.2854,-0.74054,-0.600281
1523148930898687,0.0997925,0.284912,-0.740784,-0.600159
1523148930919743,0.0997314,0.284668,-0.740845,-0.600159
1523148930936291,0.0994263,0.284607,-0.740784,-0.600342
1523148930958848,0.0993652,0.28479,-0.74054,-0.600525
1523148930979904,0.0992432,0.285217,-0.740234,-0.600769
1523148931003968,0.0996704,0.285461,-0.73999,-0.60083
1523148931019009,0.100098,0.285522,-0.740112,-0.600586
1523148931040063,0.100098,0.285706,-0.740295,-0.600281
1523148931056627,0.0997314,0.2854,-0.741089,-0.599548
1523148931079169,0.100403,0.285828,-0.740906,-0.599487
1523148931099723,0.101868,0.28479,-0.741089,-0.599487
1523148931116267,0.103577,0.284363,-0.74115,-0.599365
1523148931146347,0.10498,0.284424,-0.741028,-0.599182
1523148931159889,0.105408,0.284485,-0.740967,-0.599182
1523148931176434,0.105347,0.285339,-0.740479,-0.599304
1523148931198986,0.105103,0.286377,-0.73999,-0.599487
1523148931220042,0.10437,0.287476,-0.739563,-0.59967
1523148931236587,0.103149,0.289429,-0.739014,-0.599609
1523148931258646,0.101318,0.291077,-0.73877,-0.599426
1523148931279701,0.0993042,0.292175,-0.738708,-0.599304
1523148931296245,0.0978394,0.292908,-0.738525,-0.599365
1523148931318804,0.0979614,0.293152,-0.738403,-0.599426
1523148931339863,0.0982666,0.292175,-0.738586,-0.599609
1523148931356408,0.0987549,0.290955,-0.738953,-0.59967
1523148931378966,0.0991821,0.289978,-0.739197,-0.599792
1523148931401526,0.0994263,0.289246,-0.739197,-0.600098
1523148931424086,0.0993652,0.288818,-0.739014,-0.600525
1523148931438624,0.0991211,0.288513,-0.738953,-0.600769
1523148931461184,0.0991211,0.288513,-0.738953,-0.600769
1523148931482243,0.098877,0.288208,-0.739075,-0.600769
1523148931498826,0.0986328,0.288025,-0.739319,-0.600708
1523148931521385,0.0985107,0.28772,-0.739563,-0.600464
1523148931535426,0.0982056,0.287354,-0.73999,-0.60022
1523148931558984,0.0974121,0.28656,-0.740784,-0.599731
1523148931581544,0.0981445,0.286133,-0.740845,-0.599731
1523148931595582,0.0994263,0.284363,-0.741394,-0.599731
1523148931618643,0.100342,0.283447,-0.74176,-0.599548
1523148931641709,0.101013,0.283569,-0.74176,-0.599365
1523148931655743,0.100891,0.283081,-0.741882,-0.599426
1523148931678804,0.100464,0.283386,-0.74176,-0.599548
1523148931701363,0.0999146,0.28418,-0.741516,-0.599548
1523148931715903,0.0991211,0.285156,-0.741333,-0.599487
1523148931738966,0.097168,0.286621,-0.74115,-0.599243
1523148931761524,0.0951538,0.287903,-0.741089,-0.59906
1523148931775562,0.0935669,0.288513,-0.741089,-0.598999
1523148931798623,0.0932007,0.288757,-0.74115,-0.598938
1523148931821186,0.093811,0.288757,-0.74115,-0.598816
1523148931835721,0.0944824,0.288574,-0.741028,-0.598938
1523148931858783,0.0949097,0.288452,-0.740784,-0.599243
1523148931881343,0.0953369,0.288696,-0.740417,-0.599548
1523148931902399,0.0953369,0.289001,-0.740112,-0.599792
1523148931918943,0.0952759,0.289185,-0.739929,-0.599854
1523148931947520,0.0949707,0.289368,-0.739929,-0.599854
1523148931962559,0.0946655,0.28949,-0.740051,-0.59967
1523148931978601,0.0946655,0.289246,-0.740295,-0.599487
1523148932001162,0.0942383,0.289001,-0.740601,-0.599304
1523148932022723,0.0934448,0.287781,-0.741455,-0.598999
1523148932038763,0.0934448,0.287476,-0.741516,-0.59906
1523148932061321,0.0945435,0.285828,-0.741699,-0.599426
1523148932082377,0.0955811,0.284302,-0.74176,-0.599915
1523148932098922,0.0969849,0.283875,-0.741333,-0.600464
1523148932121482,0.0974731,0.283325,-0.740906,-0.601074
1523148932142537,0.0978394,0.283691,-0.740417,-0.601501
1523148932164598,0.0976563,0.284241,-0.740173,-0.601624
1523148932181140,0.097168,0.284973,-0.73999,-0.601501
1523148932202202,0.0950928,0.286865,-0.739624,-0.601379
1523148932226266,0.0932007,0.288757,-0.739014,-0.601501
1523148932241308,0.09198,0.289917,-0.738342,-0.60199
1523148932262364,0.0918579,0.290588,-0.737976,-0.602112
1523148932278908,0.092041,0.291016,-0.737793,-0.602112
1523148932301472,0.0922241,0.291504,-0.737549,-0.602173
1523148932324027,0.0923462,0.292297,-0.737122,-0.602234
1523148932339070,0.0924072,0.293152,-0.736572,-0.602539
1523148932361126,0.0926514,0.293884,-0.736084,-0.602722
1523148932383688,0.0928345,0.294495,-0.735657,-0.602905
1523148932398225,0.0931396,0.295105,-0.735474,-0.602844
1523148932421288,0.0930176,0.295227,-0.735474,-0.602783
1523148932443846,0.0927124,0.29541,-0.735474,-0.602722
1523148932458384,0.0925293,0.295593,-0.735474,-0.602661
1523148932481449,0.0922852,0.295349,-0.735596,-0.602661
1523148932504006,0.0921021,0.294861,-0.735962,-0.602478
1523148932518043,0.0919189,0.294495,-0.736633,-0.601868
1523148932541105,0.0895386,0.293762,-0.736938,-0.602234
1523148932563665,0.0880737,0.293762,-0.737793,-0.601379
1523148932578203,0.0879517,0.293518,-0.738037,-0.601196
1523148932601267,0.0883789,0.291931,-0.738586,-0.601257
1523148932623826,0.0896606,0.291382,-0.738586,-0.601379
1523148932638364,0.0904541,0.291138,-0.738464,-0.601501
1523148932661426,0.0903931,0.290955,-0.738464,-0.601624
1523148932683986,0.0900269,0.291687,-0.73822,-0.601563
1523148932698022,0.0890503,0.292236,-0.738037,-0.601685
1523148932721586,0.0875244,0.293579,-0.737793,-0.601563
1523148932743644,0.0863647,0.294922,-0.737488,-0.60144
1523148932764701,0.0861206,0.295593,-0.737183,-0.601563
1523148932781244,0.0869141,0.295959,-0.736755,-0.601746
1523148932809820,0.0881348,0.29657,-0.736145,-0.60199
1523148932824861,0.0888062,0.297302,-0.735596,-0.602295
1523148932841406,0.0888062,0.297852,-0.735229,-0.602417
1523148932863963,0.0883789,0.298096,-0.735168,-0.602417
1523148932885023,0.0877075,0.298096,-0.735291,-0.602356
1523148932901564,0.0871582,0.297974,-0.735474,-0.602234
